0	valid	TV viewing is harmful to children:The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.  </s></s> Depression is a well-known psychological problem of modern society that is partly caused by TV watching: 
1	valid	TV viewing is harmful to children:The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.  </s></s> Children's TV viewing fosters negative emotions 
2	valid	TV viewing is harmful to children:The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.  </s></s> Popularity of TV is harmful to children 
3	valid	TV viewing is harmful to children:The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.  </s></s> Violence on TV and in movies encourages psychological stress 
4	invalid	TV viewing is harmful to children:The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.  </s></s> US-India deal does not cap or limit Indian fissile material production. 
5	valid	TV viewing is harmful to children:There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.  </s></s> Educational TV shows are beneficial for children. 
6	valid	TV viewing is harmful to children:There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.  </s></s> There are many educational programs for children. 
7	valid	TV viewing is harmful to children:There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.  </s></s> There are many educational TV shows for children. 
8	invalid	TV viewing is harmful to children:There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.  </s></s> Educational TV shows. 
9	invalid	TV viewing is harmful to children:There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.  </s></s> Post-invasion UN resolutions authorized the presence of coalition forces in Iraq. 
10	valid	"TV viewing is harmful to children:Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.  </s></s> Television has a negative effect on education and culture "
11	valid	"TV viewing is harmful to children:Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.  </s></s> Television is a form of entertainment. "
12	valid	"TV viewing is harmful to children:Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.  </s></s> Television is mostly directed to films and shows that have commercial purposes but little cultural value: "
13	valid	"TV viewing is harmful to children:Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.  </s></s> Television is a temple of shallow values "
14	invalid	"TV viewing is harmful to children:Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.  </s></s> Torture is not punishment, but a measure to protect innocent civilians "
15	valid	"Torture:No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.  </s></s> No Western nation performs torture on foreign prisoners. "
16	invalid	"Torture:No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.  </s></s> EU admission undermines Turkey's democratic example to Middle East "
17	valid	Torture:The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable  </s></s> The ends do not justify the means in the case of torture 
18	valid	Torture:The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable  </s></s> The ends do not justify the means in torture. 
19	valid	Torture:The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable  </s></s> Ends don't justify the means in torture. 
20	valid	"Torture:No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.  </s></s> Torture is not being applied to legitimate foreign troops, but terrorists: "
21	invalid	"Torture:While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.  </s></s> Ticking time bomb is fictitious; torture is necessary "
22	invalid	Torture:Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.  </s></s> Terrorists will not change tactics of torture. 
23	valid	Torture:Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.  </s></s> Terrorists would not be threatened by a Western policy of torture 
24	invalid	Torture:Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.  </s></s> Terrorists are going to kidnap, torture, and kill Western troops regardless of whether the West 
25	invalid	Torture:Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.  </s></s> Saddam's regime posed a general menace to international law and security 
26	invalid	"Torture:No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.  </s></s> Tortured POWs are not tortured by other states "
27	invalid	"Torture:No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.  </s></s> Torture on POWs is not a form of torture "
